beacontest1,beacontest2,beacontest3,beacontest4,beacontest5,beacontest6,beacontest7,beacontest8,beacontest9,beacontest10,beacontest11,beacontest12,beacontest13,beacontest14,beacontest15,beaocontest16,beaocontest17,beaocontest18,target
-95,-62,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,11
-95,-62,-95,-95,-66,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,11
-95,-62,-95,-95,-66,-95,-75,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,11
-95,-62,-95,-95,-66,-95,-75,-95,-95,-95,-95,-65,-95,-95,-95,-95,-95,-95,11
-95,-62,-95,-71,-66,-95,-75,-95,-95,-95,-95,-65,-95,-95,-95,-95,-95,-95,11
-61,-62,-95,-71,-66,-95,-75,-95,-95,-95,-95,-65,-95,-95,-95,-95,-95,-95,11
-61,-62,-95,-71,-66,-95,-75,-95,-95,-95,-95,-65,-95,-95,-95,-69,-95,-95,11
-61,-62,-95,-71,-66,-63,-75,-95,-95,-95,-95,-65,-95,-95,-95,-69,-95,-95,11
-61,-62,-95,-71,-66,-63,-75,-95,-95,-95,-95,-65,-95,-95,-95,-69,-95,-77,11
-61,-62,-95,-71,-66,-63,-75,-95,-95,-95,-95,-65,-65,-95,-95,-69,-95,-77,11
-61,-62,-95,-71,-66,-63,-75,-95,-95,-53,-95,-65,-65,-95,-95,-69,-95,-77,11
-61,-62,-64,-71,-66,-63,-75,-95,-95,-53,-95,-65,-65,-95,-95,-69,-95,-77,11
-61,-62,-64,-71,-66,-63,-75,-95,-95,-53,-95,-65,-65,-95,-95,-69,-70,-77,11
-61,-62,-64,-71,-66,-63,-75,-95,-95,-53,-95,-65,-65,-95,-95,-69,-70,-77,11
-61,-62,-64,-71,-66,-63,-75,-95,-74,-53,-95,-65,-65,-95,-95,-69,-70,-77,11
-61,-62,-64,-71,-66,-63,-75,-95,-74,-53,-95,-65,-65,-95,-67,-69,-70,-77,11
